education_attainment_group,race_grp,Excellent,Fair,Good,Poor,Unknown-don't know,Unknown-refused,Very Good
HS diploma/GED,Other/Multiracial,0.2281449893390192,0.1044776119402985,0.326226012793177,0.0255863539445629,0.0,0.0,0.31556503198294245
HS diploma/GED,Other/Unknown,0.14454277286135694,0.20353982300884957,0.34513274336283184,0.05604719764011799,0.0,0.0,0.25073746312684364
HS diploma/GED,Unknown-DK,0.13333333333333333,0.23333333333333334,0.3,0.03333333333333333,0.0,0.0,0.3
HS diploma/GED,Unknown-NA,0.24102997045166738,0.13296749683410722,0.3372731110173069,0.026171380329252848,0.0008442380751371887,0.0,0.26171380329252847
HS diploma/GED,Unknown-Refused,0.1875,0.25,0.375,0.0,0.0,0.0,0.1875
HS diploma/GED,White,0.15222776720640505,0.15423832262233872,0.3408250457760385,0.0489354827128137,0.00032312497756076545,0.00021541665170717695,0.3032348400531361
Less than HS,AIAN,0.1015625,0.29296875,0.2578125,0.1171875,0.00390625,0.0,0.2265625
Less than HS,Asian,0.1377952755905512,0.15748031496062992,0.4035433070866142,0.0984251968503937,0.0,0.0,0.20275590551181102
Less than HS,Black,0.10315473209814723,0.30796194291437157,0.33199799699549326,0.10065097646469705,0.0,0.000500751126690035,0.1557336004006009
Less than HS,Other/Multiracial,0.19047619047619047,0.14285714285714285,0.3523809523809524,0.08571428571428572,0.0,0.009523809523809525,0.21904761904761905
Less than HS,Other/Unknown,0.1206896551724138,0.3620689655172414,0.25,0.13793103448275862,0.0,0.0,0.12931034482758622
Less than HS,Unknown-DK,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.0,0.0,0.0,0.25925925925925924
Less than HS,Unknown-NA,0.16728797763280523,0.21062441752096925,0.38397017707362535,0.05917986952469711,0.0009319664492078285,0.0,0.17800559179869524
Less than HS,Unknown-Refused,0.0,0.25,0.75,0.0,0.0,0.0,0.0
Less than HS,White,0.12603110209601082,0.23556457065584854,0.33536173089925625,0.10277214334009466,0.00040567951318458417,0.0001352265043948614,0.1997295469912103
Some college/AA,AIAN,0.16424116424116425,0.17671517671517672,0.30145530145530147,0.037422037422037424,0.0,0.002079002079002079,0.3180873180873181
Some college/AA,Asian,0.24118070554355653,0.09287257019438445,0.3146148308135349,0.018718502519798418,0.0007199424046076314,0.0,0.33189344852411806
Some college/AA,Black,0.17534246575342466,0.16829745596868884,0.34598825831702545,0.03600782778864971,0.00019569471624266145,0.0005870841487279843,0.2735812133072407
Some college/AA,Other/Multiracial,0.2220472440944882,0.11496062992125984,0.27716535433070866,0.026771653543307086,0.0,0.0,0.3590551181102362
Some college/AA,Other/Unknown,0.13559322033898305,0.1864406779661017,0.3220338983050847,0.09792843691148775,0.0,0.0,0.2580037664783427
Some college/AA,Unknown-DK,0.16,0.12,0.36,0.0,0.0,0.0,0.36
Some college/AA,Unknown-NA,0.2269297736506094,0.1044689495066744,0.3215322112594312,0.03192106790481718,0.0005803830528148578,0.0,0.3145676146256529
Some college/AA,Unknown-Refused,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.0,0.0,0.2
Some college/AA,White,0.18179001827813748,0.11911769261749125,0.30499705691006535,0.036370395613247,0.00021685925834133646,0.00018587936429257412,0.35732209795842496
Unknown,AIAN,0.5748792270531401,0.026570048309178744,0.14251207729468598,0.004830917874396135,0.0,0.0,0.25120772946859904
Unknown,Asian,0.6466275659824047,0.01466275659824047,0.10373900293255132,0.0032991202346041057,0.0,0.0,0.2316715542521994
Unknown,Black,0.5837955148299976,0.03400048227634435,0.1514347721244273,0.0065107306486616836,0.0,0.00024113817217265494,0.22401736194839644
Unknown,Other/Multiracial,0.6435779816513761,0.017889908256880735,0.09678899082568808,0.0009174311926605505,0.0,0.0,0.2408256880733945
Unknown,Other/Unknown,0.6037037037037037,0.03888888888888889,0.13333333333333333,0.003703703703703704,0.0,0.0,0.22037037037037038
Unknown,Unknown-DK,0.5087719298245614,0.017543859649122806,0.3157894736842105,0.0,0.0,0.0,0.15789473684210525
Unknown,Unknown-NA,0.5571338383838383,0.038825757575757576,0.1736111111111111,0.004419191919191919,0.0003156565656565657,0.0003156565656565657,0.22537878787878787
Unknown,Unknown-Refused,0.391304347826087,0.0,0.32608695652173914,0.021739130434782608,0.0,0.0,0.2608695652173913
Unknown,White,0.6608598369825796,0.01945820680837462,0.09497362953492089,0.003675883011027649,7.99105002397315e-05,0.00027968675083906027,0.22067284641201854
